"Plot Title: 10859610"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859610, SEN S/N: 10868969)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879376)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879378)"
357,04/26/17 06:00:01 AM,45.444,0.2680,0.1958
358,04/26/17 07:00:01 AM,48.717,0.2673,0.1948
359,04/26/17 08:00:01 AM,56.208,0.2666,0.1945
360,04/26/17 09:00:01 AM,68.956,0.2449,0.1935
361,04/26/17 10:00:01 AM,85.487,0.2449,0.1926
362,04/26/17 11:00:01 AM,88.075,0.2494,0.1923
363,04/26/17 12:00:01 PM,102.621,0.2567,0.1923
364,04/26/17 01:00:01 PM,110.019,0.2666,0.1926
365,04/26/17 02:00:01 PM,105.084,0.2726,0.1932
366,04/26/17 03:00:01 PM,109.857,-0.0115,0.1948
367,04/26/17 04:00:01 PM,102.317,0.2776,0.1954
368,04/26/17 05:00:01 PM,88.259,0.2783,0.1972
369,04/26/17 06:00:01 PM,91.729,0.2773,0.1967
370,04/26/17 07:00:01 PM,75.853,0.2770,0.1985
371,04/26/17 08:00:01 PM,64.589,0.2756,0.1985
372,04/26/17 09:00:01 PM,63.005,0.2736,0.1976
373,04/26/17 10:00:01 PM,61.506,0.2719,0.1963
374,04/26/17 11:00:01 PM,59.873,0.2705,0.1958
375,04/27/17 12:00:01 AM,52.423,0.2694,0.1954
376,04/27/17 01:00:01 AM,52.860,0.2684,0.1945
377,04/27/17 02:00:01 AM,47.691,0.2677,0.1939
378,04/27/17 03:00:01 AM,49.692,0.2664,0.1932
379,04/27/17 04:00:01 AM,48.450,0.2660,0.1926
380,04/27/17 05:00:01 AM,48.094,0.2650,0.1923
381,04/27/17 06:00:01 AM,47.512,0.2646,0.1917
382,04/27/17 07:00:01 AM,49.782,0.2639,0.1913
383,04/27/17 08:00:01 AM,60.904,0.2624,0.1904
384,04/27/17 09:00:01 AM,72.007,0.2615,0.1898
385,04/27/17 10:00:01 AM,80.492,0.2618,0.1891
386,04/27/17 11:00:01 AM,90.844,0.2632,0.1885
387,04/27/17 12:00:01 PM,96.386,0.2403,0.1891
388,04/27/17 01:00:01 PM,100.508,0.2677,0.1898
389,04/27/17 02:00:01 PM,108.669,0.2694,0.1898
390,04/27/17 03:00:01 PM,104.515,0.2715,0.1904
391,04/27/17 04:00:01 PM,102.114,0.2732,0.1913
392,04/27/17 05:00:01 PM,103.435,0.2736,0.1923
393,04/27/17 06:00:01 PM,83.467,0.2746,0.1945
394,04/27/17 07:00:01 PM,76.246,0.2732,0.1939
395,04/27/17 08:00:01 PM,63.475,0.2719,0.1945
396,04/27/17 09:00:01 PM,60.690,0.2694,0.1932
397,04/27/17 10:00:01 PM,58.325,0.2670,0.1917
398,04/27/17 11:00:01 PM,55.515,0.2657,0.1908
399,04/28/17 12:00:01 AM,52.554,0.2635,0.1898
400,04/28/17 01:00:01 AM,48.094,0.2575,0.1891
401,04/28/17 02:00:01 AM,45.127,0.2520,0.1881
402,04/28/17 03:00:01 AM,43.488,0.2502,0.1881
403,04/28/17 04:00:01 AM,42.478,0.2430,0.1872
404,04/28/17 05:00:01 AM,40.858,0.2358,0.1866
405,04/28/17 06:00:01 AM,40.626,0.2174,0.1862
406,04/28/17 07:00:01 AM,42.247,0.2134,0.1853
407,04/28/17 08:00:01 AM,50.797,0.2143,0.1843
408,04/28/17 09:00:01 AM,73.083,0.2139,0.1840
409,04/28/17 10:00:01 AM,85.712,0.2139,0.1820
410,04/28/17 11:00:01 AM,86.029,0.2112,0.1820
411,04/28/17 12:00:01 PM,97.939,0.2241,0.1830
412,04/28/17 01:00:01 PM,102.114,0.2347,0.1840
413,04/28/17 02:00:01 PM,107.337,0.2639,0.1843
414,04/28/17 03:00:01 PM,108.295,0.2660,0.1853
415,04/28/17 04:00:01 PM,99.563,-0.4737,0.1862
416,04/28/17 05:00:01 PM,98.429,0.2687,0.1872
417,04/28/17 06:00:01 PM,90.612,0.2680,0.1876
418,04/28/17 07:00:01 PM,74.467,0.2684,0.1891
419,04/28/17 08:00:01 PM,60.132,0.2670,0.1891
420,04/28/17 09:00:01 PM,57.592,0.2639,0.1876
421,04/28/17 10:00:01 PM,55.733,0.2618,0.1862
422,04/28/17 11:00:01 PM,52.029,0.2600,0.1853
